epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,233.253,0.90116,0.81482,1.03165,0.84454,0.87418,0.86922,0.50112,1.4131,0.89575,1.29443,0.000320327,0.000320327,0.000320327
23,242.699,0.89116,0.81807,1.02986,0.85885,0.87681,0.86458,0.50787,1.36913,0.91135,1.27443,0.000303818,0.000303818,0.000303818
24,252.612,0.896,0.79419,1.02634,0.86534,0.85901,0.86138,0.50344,1.37884,0.92302,1.27652,0.00028731,0.00028731,0.00028731
25,261.867,0.90083,0.80005,1.02997,0.85828,0.87913,0.87022,0.51074,1.37365,0.88683,1.28693,0.000270802,0.000270802,0.000270802
26,271.777,0.88347,0.78596,1.01906,0.86544,0.88909,0.86331,0.50123,1.38832,0.87516,1.27479,0.000254294,0.000254294,0.000254294
27,281.631,0.88192,0.79075,1.0271,0.88176,0.87983,0.86639,0.49851,1.42532,0.87084,1.28445,0.000237785,0.000237785,0.000237785
28,291.402,0.86666,0.75393,1.01247,0.87628,0.87101,0.86599,0.49781,1.39787,0.87795,1.2709,0.000221277,0.000221277,0.000221277
29,300.993,0.88066,0.7612,1.0218,0.85504,0.88134,0.8613,0.51207,1.37819,0.86892,1.27571,0.000204769,0.000204769,0.000204769
30,310.622,0.89001,0.74915,1.02342,0.87825,0.88028,0.87047,0.50354,1.38705,0.85588,1.26397,0.000188261,0.000188261,0.000188261
31,321.485,0.82005,0.63464,1.00206,0.87501,0.8616,0.85474,0.48737,1.40481,0.89435,1.28045,0.000171752,0.000171752,0.000171752
32,330.79,0.818,0.6215,1.00641,0.87268,0.88049,0.86582,0.4924,1.40553,0.87554,1.29293,0.000155244,0.000155244,0.000155244
33,340.305,0.80991,0.60133,0.99988,0.87927,0.89468,0.87778,0.51514,1.38113,0.81978,1.27376,0.000138736,0.000138736,0.000138736
34,349.816,0.79398,0.59488,0.99316,0.87723,0.89117,0.8774,0.51068,1.37776,0.83521,1.28444,0.000122228,0.000122228,0.000122228
35,359.064,0.78749,0.58278,0.99736,0.87702,0.87996,0.87501,0.50916,1.38681,0.85387,1.29497,0.00010572,0.00010572,0.00010572
36,368.671,0.77376,0.57587,0.99322,0.8586,0.87741,0.86107,0.50305,1.3948,0.85794,1.28107,8.92113e-05,8.92113e-05,8.92113e-05
37,378.04,0.77323,0.56835,0.98476,0.87781,0.88871,0.86987,0.50538,1.40894,0.82203,1.27807,7.2703e-05,7.2703e-05,7.2703e-05
38,387.503,0.75881,0.55665,0.98131,0.86186,0.88811,0.8599,0.49863,1.40182,0.83519,1.28083,5.61947e-05,5.61947e-05,5.61947e-05
39,397.041,0.76008,0.55293,0.98026,0.87621,0.89561,0.87347,0.51263,1.3842,0.8109,1.26715,3.96865e-05,3.96865e-05,3.96865e-05
