epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.5767,1.38795,3.88614,1.22551,0.01967,0.84469,0.12082,0.06575,1.39375,3.47519,1.16279,0.000216324,0.000216324,0.000216324
2,43.0354,1.25272,2.42544,1.13073,0.69714,0.08037,0.27057,0.14846,1.44921,2.84896,1.22706,0.000427801,0.000427801,0.000427801
3,52.176,1.18536,1.76636,1.11915,0.51992,0.48232,0.49573,0.25478,1.52326,2.06002,1.33564,0.000628272,0.000628272,0.000628272
4,61.7662,1.17534,1.50506,1.12444,0.49144,0.69152,0.66468,0.3587,1.47774,1.62631,1.31554,0.000617475,0.000617475,0.000617475
5,71.2312,1.12222,1.32467,1.11265,0.74352,0.76093,0.7836,0.41548,1.50052,1.27733,1.36152,0.000600967,0.000600967,0.000600967
6,81.4638,1.10411,1.24206,1.11098,0.75249,0.8036,0.81386,0.43844,1.49147,1.11235,1.31639,0.000584459,0.000584459,0.000584459
7,91.7417,1.07725,1.19886,1.09601,0.71035,0.80521,0.79098,0.43721,1.44693,1.1174,1.32374,0.00056795,0.00056795,0.00056795
8,101.98,1.04523,1.11534,1.09112,0.75849,0.78663,0.80084,0.43295,1.4821,1.1175,1.369,0.000551442,0.000551442,0.000551442
9,111.602,1.02744,1.07589,1.07646,0.77816,0.81331,0.8079,0.44727,1.44883,1.10545,1.34944,0.000534934,0.000534934,0.000534934
10,121.177,1.01669,1.04478,1.07822,0.81993,0.82575,0.84386,0.47013,1.45028,1.05568,1.34567,0.000518426,0.000518426,0.000518426
11,130.905,1.02382,1.02457,1.07862,0.82818,0.81779,0.83331,0.46397,1.43434,1.048,1.30662,0.000501917,0.000501917,0.000501917
12,140.802,0.97522,0.97462,1.04964,0.8351,0.86571,0.8581,0.47594,1.43011,0.99885,1.31737,0.000485409,0.000485409,0.000485409
13,150.158,0.96223,0.94559,1.05673,0.83757,0.86079,0.87304,0.49269,1.41145,0.97989,1.31979,0.000468901,0.000468901,0.000468901
14,159.42,0.96042,0.9343,1.05784,0.85937,0.877,0.87197,0.49467,1.41135,0.92404,1.30079,0.000452393,0.000452393,0.000452393
15,168.732,0.96856,0.91554,1.0525,0.84812,0.81999,0.83777,0.48204,1.41487,0.98848,1.28169,0.000435884,0.000435884,0.000435884
16,177.691,0.93523,0.88895,1.04331,0.83261,0.85964,0.85159,0.48381,1.41228,1.00557,1.3171,0.000419376,0.000419376,0.000419376
17,186.633,0.93589,0.89342,1.04984,0.85544,0.84979,0.85755,0.48126,1.43025,0.96211,1.2937,0.000402868,0.000402868,0.000402868
18,195.837,0.96084,0.87958,1.05344,0.8354,0.87005,0.86878,0.4939,1.41021,0.92942,1.27398,0.00038636,0.00038636,0.00038636
19,205.12,0.95228,0.86692,1.05202,0.87377,0.86273,0.87267,0.50248,1.37266,0.94646,1.29889,0.000369851,0.000369851,0.000369851
20,214.929,0.92361,0.84772,1.03846,0.85963,0.87039,0.8617,0.48995,1.40952,0.91255,1.29746,0.000353343,0.000353343,0.000353343
21,224.04,0.91785,0.82529,1.03423,0.85958,0.85846,0.87607,0.50339,1.39989,0.9283,1.30471,0.000336835,0.000336835,0.000336835
