epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.398,1.4037,2.56841,1.26972,0.60395,0.60588,0.62575,0.32649,1.55682,1.49191,1.33926,0.000219329,0.000219329,0.000219329
2,51.6311,1.21589,1.28672,1.17984,0.69519,0.78684,0.73076,0.39748,1.56259,1.2,1.42543,0.000430731,0.000430731,0.000430731
3,67.155,1.15441,1.0551,1.1624,0.68539,0.75809,0.75715,0.3806,1.60018,1.34971,1.57463,0.000631128,0.000631128,0.000631128
4,85.0586,1.1064,0.98035,1.15675,0.72775,0.80603,0.77548,0.41845,1.55183,1.08995,1.47829,0.000617475,0.000617475,0.000617475
5,102.85,1.10792,0.92711,1.14973,0.75197,0.86099,0.82351,0.44856,1.48945,0.98793,1.43285,0.000600967,0.000600967,0.000600967
6,120.44,1.05409,0.88547,1.13484,0.74344,0.85669,0.79338,0.43074,1.49436,1.02387,1.45614,0.000584459,0.000584459,0.000584459
7,138.149,1.0218,0.85731,1.11514,0.77581,0.8418,0.83481,0.46123,1.48751,0.95777,1.44075,0.00056795,0.00056795,0.00056795
8,156.072,1.02935,0.82207,1.13382,0.76967,0.8419,0.84251,0.46234,1.49501,0.97654,1.41908,0.000551442,0.000551442,0.000551442
9,173.598,1.01293,0.80612,1.12136,0.82905,0.86083,0.85743,0.47246,1.47832,0.91642,1.41391,0.000534934,0.000534934,0.000534934
10,191.187,0.997,0.7762,1.11544,0.83868,0.86547,0.86034,0.47834,1.4548,0.8679,1.37998,0.000518426,0.000518426,0.000518426
11,209.088,0.99159,0.77772,1.10861,0.82245,0.86428,0.85162,0.46965,1.48639,0.88989,1.38959,0.000501917,0.000501917,0.000501917
12,226.894,0.98119,0.74113,1.09902,0.86045,0.90127,0.87419,0.48773,1.4845,0.84816,1.42561,0.000485409,0.000485409,0.000485409
13,243.813,0.9496,0.69972,1.08372,0.83,0.85882,0.86534,0.48488,1.46213,0.87469,1.38552,0.000468901,0.000468901,0.000468901
14,261.231,0.92735,0.70217,1.08149,0.86748,0.87743,0.87215,0.49034,1.45468,0.84138,1.41945,0.000452393,0.000452393,0.000452393
15,278.69,0.93482,0.69111,1.08103,0.81489,0.86323,0.85844,0.4665,1.49627,0.87877,1.39938,0.000435884,0.000435884,0.000435884
16,296.408,0.92115,0.69086,1.07989,0.88427,0.88496,0.87368,0.49558,1.4632,0.80561,1.42057,0.000419376,0.000419376,0.000419376
17,313.995,0.94729,0.70369,1.0948,0.85157,0.86839,0.85429,0.48158,1.46699,0.84703,1.38252,0.000402868,0.000402868,0.000402868
18,331.079,0.90807,0.67627,1.07254,0.88527,0.88679,0.87528,0.48932,1.45233,0.83046,1.37895,0.00038636,0.00038636,0.00038636
19,348.591,0.93119,0.68532,1.08513,0.88432,0.87447,0.86525,0.48715,1.46182,0.80656,1.3895,0.000369851,0.000369851,0.000369851
20,364.915,0.89541,0.6721,1.06896,0.85241,0.87425,0.85364,0.48892,1.43638,0.8035,1.39294,0.000353343,0.000353343,0.000353343
21,379.972,0.91126,0.65583,1.07073,0.87526,0.89419,0.87896,0.4937,1.43629,0.77883,1.37849,0.000336835,0.000336835,0.000336835
22,394.582,0.90469,0.64872,1.06748,0.88323,0.8878,0.87112,0.50101,1.44998,0.77286,1.36143,0.000320327,0.000320327,0.000320327
23,409.401,0.91675,0.67202,1.07408,0.89501,0.88993,0.88557,0.5149,1.44487,0.75806,1.36598,0.000303818,0.000303818,0.000303818
24,424.767,0.86971,0.6275,1.05648,0.89349,0.89703,0.8824,0.51832,1.42231,0.7607,1.35751,0.00028731,0.00028731,0.00028731
25,440.957,0.884,0.63142,1.05683,0.85224,0.87819,0.86012,0.49281,1.42279,0.79396,1.36908,0.000270802,0.000270802,0.000270802
26,458.589,0.85489,0.63082,1.04558,0.85636,0.88494,0.86991,0.5139,1.40315,0.7838,1.36129,0.000254294,0.000254294,0.000254294
27,476.251,0.84264,0.61221,1.04553,0.87605,0.87977,0.87222,0.5009,1.4327,0.79432,1.36478,0.000237785,0.000237785,0.000237785
28,493.957,0.83284,0.59657,1.03497,0.87441,0.89643,0.8763,0.49903,1.44201,0.77604,1.38178,0.000221277,0.000221277,0.000221277
29,508.631,0.84822,0.60165,1.03779,0.88321,0.89672,0.88067,0.51246,1.40555,0.73395,1.35358,0.000204769,0.000204769,0.000204769
30,523.234,0.84788,0.58901,1.05268,0.88562,0.89919,0.87795,0.50695,1.41993,0.748,1.36289,0.000188261,0.000188261,0.000188261
