epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4566,1.34992,3.53066,1.22975,0.71915,0.04027,0.17061,0.08699,1.42035,3.14777,1.19828,0.000219329,0.000219329,0.000219329
2,39.9652,1.2479,1.99572,1.15613,0.59363,0.55364,0.61759,0.30401,1.68508,1.53403,1.37233,0.000430731,0.000430731,0.000430731
3,49.1322,1.20059,1.43786,1.16657,0.72737,0.74876,0.7863,0.37474,1.68497,1.31529,1.45577,0.000631128,0.000631128,0.000631128
4,58.2753,1.20249,1.29194,1.16974,0.83063,0.82168,0.83478,0.44452,1.534,1.23898,1.41391,0.000617475,0.000617475,0.000617475
5,67.3122,1.18093,1.20803,1.15895,0.83246,0.82233,0.8352,0.41917,1.60649,1.1399,1.39538,0.000600967,0.000600967,0.000600967
6,76.3911,1.09671,1.09366,1.11699,0.85769,0.8459,0.84844,0.44334,1.54969,1.05299,1.3969,0.000584459,0.000584459,0.000584459
7,85.3586,1.08637,1.03861,1.12,0.84283,0.85547,0.86216,0.48301,1.4754,0.99981,1.35238,0.00056795,0.00056795,0.00056795
8,94.6503,1.06271,1.00913,1.11226,0.86357,0.86433,0.86303,0.45443,1.54191,0.99812,1.39669,0.000551442,0.000551442,0.000551442
9,104.101,1.05285,0.98048,1.11214,0.79117,0.86948,0.85826,0.45974,1.46777,1.04101,1.35745,0.000534934,0.000534934,0.000534934
10,113.62,1.01564,0.92542,1.08405,0.84147,0.86356,0.8435,0.42989,1.55067,1.02962,1.37213,0.000518426,0.000518426,0.000518426
11,123.242,1.03224,0.92776,1.10136,0.86754,0.84649,0.85605,0.43011,1.56485,1.03008,1.37538,0.000501917,0.000501917,0.000501917
12,134.065,0.99421,0.88975,1.07378,0.86669,0.88005,0.85757,0.44295,1.53205,1.02168,1.37741,0.000485409,0.000485409,0.000485409
13,144.332,1.00526,0.88589,1.08831,0.87561,0.85054,0.87026,0.48103,1.47304,0.94541,1.35649,0.000468901,0.000468901,0.000468901
