epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1839,1.28902,3.58361,1.15681,0.99174,0.0448,0.16006,0.0885,1.44387,3.06688,1.19421,0.000219329,0.000219329,0.000219329
2,43.8904,1.20942,2.09943,1.11338,0.50761,0.57997,0.55512,0.28693,1.53905,1.71976,1.28528,0.000430731,0.000430731,0.000430731
3,54.6374,1.20351,1.61507,1.13026,0.61775,0.6939,0.68678,0.37168,1.50216,1.33275,1.31079,0.000631128,0.000631128,0.000631128
4,65.2075,1.11164,1.38552,1.09995,0.64626,0.7665,0.73894,0.40209,1.47005,1.44192,1.2993,0.000617475,0.000617475,0.000617475
5,75.9047,1.11742,1.23309,1.10115,0.79226,0.80085,0.80678,0.4322,1.47812,1.14189,1.30012,0.000600967,0.000600967,0.000600967
6,86.3202,1.08664,1.15274,1.09157,0.80096,0.81725,0.82496,0.44223,1.45072,1.10003,1.29629,0.000584459,0.000584459,0.000584459
7,96.3817,1.05001,1.07212,1.07861,0.79014,0.82888,0.84461,0.46251,1.42315,1.12329,1.30324,0.00056795,0.00056795,0.00056795
8,106.273,1.0068,1.0261,1.07274,0.81273,0.85606,0.84942,0.4842,1.41694,1.04015,1.30162,0.000551442,0.000551442,0.000551442
9,116.361,0.9726,0.97106,1.05699,0.86314,0.84583,0.84728,0.46244,1.42804,1.06564,1.27757,0.000534934,0.000534934,0.000534934
10,126.766,0.987,0.9522,1.05971,0.84582,0.85097,0.84266,0.46774,1.44989,0.98861,1.25195,0.000518426,0.000518426,0.000518426
11,137.184,0.99151,0.94022,1.05687,0.87192,0.8428,0.85129,0.4785,1.4286,0.98373,1.27996,0.000501917,0.000501917,0.000501917
12,147.759,0.95186,0.88901,1.05126,0.85369,0.8571,0.86038,0.49083,1.38185,1.00862,1.29531,0.000485409,0.000485409,0.000485409
13,158.142,0.93628,0.85895,1.03971,0.85027,0.87194,0.8573,0.49573,1.38131,0.97135,1.25842,0.000468901,0.000468901,0.000468901
14,168.959,0.92439,0.8318,1.03413,0.84386,0.84833,0.85245,0.47762,1.43731,0.97736,1.30656,0.000452393,0.000452393,0.000452393
15,179.694,0.93884,0.83025,1.04345,0.86253,0.87296,0.86513,0.49058,1.4123,0.9236,1.27177,0.000435884,0.000435884,0.000435884
16,189.742,0.90601,0.78965,1.02127,0.85318,0.86705,0.86837,0.49268,1.40784,0.92734,1.28834,0.000419376,0.000419376,0.000419376
17,199.915,0.90578,0.79357,1.03146,0.87527,0.8531,0.86508,0.48974,1.41597,0.94417,1.2805,0.000402868,0.000402868,0.000402868
18,210.774,0.89988,0.78398,1.02923,0.87472,0.86881,0.85946,0.49396,1.38023,0.92011,1.25213,0.00038636,0.00038636,0.00038636
19,221.376,0.88473,0.75306,1.0169,0.86396,0.87129,0.86594,0.50134,1.38694,0.92279,1.28041,0.000369851,0.000369851,0.000369851
20,231.96,0.89134,0.74306,1.02212,0.86369,0.87103,0.85701,0.50186,1.38119,0.92148,1.25316,0.000353343,0.000353343,0.000353343
21,243.046,0.89668,0.75313,1.03114,0.87387,0.85769,0.85705,0.49479,1.38702,0.91118,1.25813,0.000336835,0.000336835,0.000336835
22,254.037,0.86267,0.73103,1.01739,0.8621,0.86897,0.87209,0.50427,1.37022,0.91907,1.27732,0.000320327,0.000320327,0.000320327
23,264.729,0.86234,0.70492,1.02037,0.86703,0.8756,0.85791,0.4916,1.40037,0.92176,1.28307,0.000303818,0.000303818,0.000303818
24,276.065,0.85806,0.6933,1.008,0.86813,0.87326,0.86723,0.49419,1.41587,0.89376,1.28188,0.00028731,0.00028731,0.00028731
25,287.557,0.85662,0.69736,1.0187,0.87986,0.87792,0.8676,0.50231,1.39537,0.87301,1.2689,0.000270802,0.000270802,0.000270802
26,298.714,0.85743,0.68481,1.01375,0.87147,0.86651,0.85887,0.49638,1.39743,0.88657,1.27271,0.000254294,0.000254294,0.000254294
27,309.642,0.86562,0.69639,1.01454,0.87073,0.87271,0.86203,0.49347,1.39278,0.89203,1.27184,0.000237785,0.000237785,0.000237785
28,319.916,0.8134,0.65446,0.99077,0.86619,0.87666,0.85731,0.49523,1.38132,0.87947,1.27695,0.000221277,0.000221277,0.000221277
