epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6114,1.37614,3.28094,1.25906,0.01934,0.83791,0.16894,0.09971,1.46512,2.96459,1.23952,0.000219329,0.000219329,0.000219329
2,22.6696,1.2573,1.94879,1.18624,0.44085,0.47121,0.4962,0.26847,1.53166,1.76753,1.38122,0.000430731,0.000430731,0.000430731
3,32.4117,1.20859,1.57218,1.15529,0.59119,0.7148,0.65614,0.33706,1.52407,1.46254,1.35783,0.000631128,0.000631128,0.000631128
4,42.5694,1.13628,1.40865,1.13557,0.63666,0.78203,0.76371,0.41626,1.44754,1.28352,1.35558,0.000617475,0.000617475,0.000617475
5,53.2553,1.12225,1.2901,1.13833,0.81358,0.74571,0.82027,0.45619,1.46479,1.11043,1.35149,0.000600967,0.000600967,0.000600967
6,63.1035,1.08643,1.22039,1.11931,0.77511,0.76282,0.78681,0.42168,1.5154,1.17134,1.35077,0.000584459,0.000584459,0.000584459
7,72.4268,1.04039,1.14277,1.10079,0.7699,0.82164,0.84771,0.4686,1.48075,1.08555,1.37007,0.00056795,0.00056795,0.00056795
8,82.2743,1.06663,1.11586,1.11632,0.81046,0.81227,0.8426,0.47788,1.42492,1.08836,1.32719,0.000551442,0.000551442,0.000551442
9,92.5439,1.04789,1.05834,1.1058,0.81584,0.8477,0.84356,0.46142,1.47903,1.02379,1.37703,0.000534934,0.000534934,0.000534934
10,102.432,1.01265,1.01281,1.08877,0.81374,0.86157,0.85477,0.48389,1.42453,0.99216,1.326,0.000518426,0.000518426,0.000518426
11,112.815,1.01455,0.98999,1.097,0.8181,0.86837,0.84935,0.48266,1.4211,0.98361,1.36449,0.000501917,0.000501917,0.000501917
12,122.544,0.98853,0.95319,1.08678,0.84875,0.88044,0.86228,0.49463,1.42027,0.97814,1.35622,0.000485409,0.000485409,0.000485409
13,132.509,0.94768,0.88845,1.06941,0.85426,0.84338,0.85316,0.4825,1.41603,0.97513,1.36154,0.000468901,0.000468901,0.000468901
14,142.415,0.93998,0.89146,1.07091,0.87844,0.86047,0.86382,0.49438,1.40893,0.94812,1.35647,0.000452393,0.000452393,0.000452393
15,152.645,0.94931,0.86753,1.06519,0.83113,0.8421,0.85442,0.48231,1.42731,0.95251,1.32354,0.000435884,0.000435884,0.000435884
16,161.603,0.94111,0.86348,1.06597,0.81677,0.87449,0.86463,0.50046,1.4211,0.92968,1.34497,0.000419376,0.000419376,0.000419376
17,171.154,0.96824,0.86285,1.07906,0.85548,0.86344,0.86305,0.48138,1.42459,0.94698,1.34859,0.000402868,0.000402868,0.000402868
18,180.31,0.9202,0.83201,1.05785,0.85792,0.87261,0.86381,0.50417,1.40205,0.89736,1.3248,0.00038636,0.00038636,0.00038636
19,189.487,0.93675,0.84333,1.06808,0.86972,0.86669,0.86798,0.5072,1.37782,0.9056,1.30998,0.000369851,0.000369851,0.000369851
20,199.192,0.91858,0.81574,1.05846,0.84935,0.8677,0.86257,0.49891,1.41876,0.9177,1.33649,0.000353343,0.000353343,0.000353343
21,209.229,0.92799,0.80954,1.06382,0.86198,0.87136,0.88026,0.50967,1.40423,0.87511,1.32924,0.000336835,0.000336835,0.000336835
22,219.371,0.92081,0.7924,1.05811,0.84565,0.88104,0.86501,0.50021,1.40705,0.87864,1.31416,0.000320327,0.000320327,0.000320327
23,229.685,0.92239,0.81515,1.06345,0.88738,0.87773,0.87392,0.51364,1.38812,0.86187,1.32075,0.000303818,0.000303818,0.000303818
24,239.849,0.88756,0.76925,1.04416,0.87772,0.88315,0.8788,0.50661,1.40778,0.85761,1.32859,0.00028731,0.00028731,0.00028731
25,249.882,0.91174,0.77126,1.05456,0.87643,0.8693,0.87219,0.51427,1.38674,0.87434,1.31979,0.000270802,0.000270802,0.000270802
26,259.905,0.88299,0.76192,1.0446,0.86095,0.87652,0.87388,0.50967,1.37593,0.87032,1.32054,0.000254294,0.000254294,0.000254294
27,269.76,0.86841,0.74892,1.04321,0.87432,0.87744,0.86237,0.50266,1.38707,0.88995,1.33039,0.000237785,0.000237785,0.000237785
28,280.192,0.86352,0.72355,1.04206,0.86505,0.88271,0.87112,0.50954,1.39374,0.88682,1.3396,0.000221277,0.000221277,0.000221277
29,290.336,0.87187,0.73537,1.03854,0.86234,0.88217,0.87193,0.51281,1.40482,0.86253,1.32511,0.000204769,0.000204769,0.000204769
30,300.823,0.87398,0.72758,1.04317,0.85974,0.87662,0.85994,0.50782,1.37346,0.8633,1.31706,0.000188261,0.000188261,0.000188261
31,312.944,0.83078,0.6146,1.0273,0.86225,0.87024,0.86147,0.49722,1.40165,0.86957,1.3184,0.000171752,0.000171752,0.000171752
